danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,rank,artist,title,date,chart,trend,streams,region,genre
0.74,0.622,1,-6.297,1,0.203,0.0965,0,0.099,0.393,148.04,audio_features,4IAVIBh9jbYN30DwpHFMD4,spotify:track:4IAVIBh9jbYN30DwpHFMD4,https://api.spotify.com/v1/tracks/4IAVIBh9jbYN30DwpHFMD4,https://api.spotify.com/v1/audio-analysis/4IAVIBh9jbYN30DwpHFMD4,286280,4,2.0,"Farid Bang, Capo, 6ix9ine, SCH",INTERNATIONAL GANGSTAS,2018-09-21,top200,NEW_ENTRY,706255.0,Germany,hip hop
0.607,0.835,0,-3.839,1,0.114,0.119,0,0.138,0.519,86.955,audio_features,6ReuhBWXeOzgOQIXiPqW0y,spotify:track:6ReuhBWXeOzgOQIXiPqW0y,https://api.spotify.com/v1/tracks/6ReuhBWXeOzgOQIXiPqW0y,https://api.spotify.com/v1/audio-analysis/6ReuhBWXeOzgOQIXiPqW0y,174583,4,1.0,Samra,Kennst du das ?!,2020-11-13,top200,NEW_ENTRY,644040.0,Germany,alt z
0.881,0.584,11,-5.931,0,0.355,0.155,4.24e-06,0.118,0.363,100.034,audio_features,7FGhMXAnM4rHN8zN2eBhXI,spotify:track:7FGhMXAnM4rHN8zN2eBhXI,https://api.spotify.com/v1/tracks/7FGhMXAnM4rHN8zN2eBhXI,https://api.spotify.com/v1/audio-analysis/7FGhMXAnM4rHN8zN2eBhXI,172147,4,5.0,Luciano,Im Film,2019-07-19,top200,NEW_ENTRY,561826.0,Germany,classical
0.658,0.746,1,-8.487,1,0.238,0.0449,0,0.0961,0.33,92.24,audio_features,2k3eSZAcD5asE39rpNQUOU,spotify:track:2k3eSZAcD5asE39rpNQUOU,https://api.spotify.com/v1/tracks/2k3eSZAcD5asE39rpNQUOU,https://api.spotify.com/v1/audio-analysis/2k3eSZAcD5asE39rpNQUOU,123609,4,7.0,Kontra K,An meinem schlechtesten Tag (feat. Samra),2021-05-21,top200,NEW_ENTRY,453708.0,Germany,rap
0.868,0.676,11,-6.957,1,0.289,0.0806,0,0.0933,0.431,90.0,audio_features,7uCpwrRNkm6ncwAWByIzW9,spotify:track:7uCpwrRNkm6ncwAWByIzW9,https://api.spotify.com/v1/tracks/7uCpwrRNkm6ncwAWByIzW9,https://api.spotify.com/v1/audio-analysis/7uCpwrRNkm6ncwAWByIzW9,135903,4,10.0,Elias,AF1,2020-08-28,top200,NEW_ENTRY,421269.0,Germany,
0.873,0.434,1,-8.62,0,0.209,0.0598,0.000534,0.139,0.429,123.039,audio_features,5dDQDduj3EaWrPIZ9bc8tj,spotify:track:5dDQDduj3EaWrPIZ9bc8tj,https://api.spotify.com/v1/tracks/5dDQDduj3EaWrPIZ9bc8tj,https://api.spotify.com/v1/audio-analysis/5dDQDduj3EaWrPIZ9bc8tj,236810,4,3.0,"Nimo, Luciano",BAD EYEZ,2021-02-19,top200,NEW_ENTRY,644619.0,Germany,hip hop
0.559,0.634,11,-6.218,0,0.477,0.301,0.000318,0.0837,0.29,154.877,audio_features,4151t4alIElfFeqeJTchjm,spotify:track:4151t4alIElfFeqeJTchjm,https://api.spotify.com/v1/tracks/4151t4alIElfFeqeJTchjm,https://api.spotify.com/v1/audio-analysis/4151t4alIElfFeqeJTchjm,154096,4,10.0,"FiNCH, Tarek K.I.Z",Onkelz Poster,2020-11-13,top200,NEW_ENTRY,308833.0,Germany,partyschlager
0.594,0.749,1,-6.017,0,0.0625,0.168,0.00967,0.102,0.533,172.061,audio_features,6AeDcN4Qqe71Jp4p46uyID,spotify:track:6AeDcN4Qqe71Jp4p46uyID,https://api.spotify.com/v1/tracks/6AeDcN4Qqe71Jp4p46uyID,https://api.spotify.com/v1/audio-analysis/6AeDcN4Qqe71Jp4p46uyID,194987,4,9.0,"Bonez MC, RAF Camora",Nein,2018-10-05,top200,NEW_ENTRY,555139.0,Germany,rap
0.845,0.493,1,-5.932,0,0.152,0.00907,0.206,0.105,0.431,90.048,audio_features,0iSNXzEBlNNJrqRiEIAw1s,spotify:track:0iSNXzEBlNNJrqRiEIAw1s,https://api.spotify.com/v1/tracks/0iSNXzEBlNNJrqRiEIAw1s,https://api.spotify.com/v1/audio-analysis/0iSNXzEBlNNJrqRiEIAw1s,157030,4,9.0,Jamule,Overdose,2021-04-02,top200,NEW_ENTRY,354904.0,Germany,hip hop
0.709,0.595,3,-9.72,0,0.315,0.334,0,0.14,0.716,164.046,audio_features,43o47EpZOuCV6YYUNcxxJl,spotify:track:43o47EpZOuCV6YYUNcxxJl,https://api.spotify.com/v1/tracks/43o47EpZOuCV6YYUNcxxJl,https://api.spotify.com/v1/audio-analysis/43o47EpZOuCV6YYUNcxxJl,202067,4,10.0,MERO,Gib ihn,2019-03-15,top200,NEW_ENTRY,558819.0,Germany,opm
0.54,0.759,9,-4.874,0,0.309,0.101,0,0.125,0.272,159.228,audio_features,3nwG4L1J4a8MXq4R01Hilb,spotify:track:3nwG4L1J4a8MXq4R01Hilb,https://api.spotify.com/v1/tracks/3nwG4L1J4a8MXq4R01Hilb,https://api.spotify.com/v1/audio-analysis/3nwG4L1J4a8MXq4R01Hilb,173299,4,9.0,Bushido,Inshallah (feat. Capital Bra),2018-09-28,top200,NEW_ENTRY,381643.0,Germany,hip hop
0.838,0.475,4,-8.737,0,0.162,0.218,0,0.0887,0.6,106.016,audio_features,0sHeIbgbNzKF8rGspC1FHV,spotify:track:0sHeIbgbNzKF8rGspC1FHV,https://api.spotify.com/v1/tracks/0sHeIbgbNzKF8rGspC1FHV,https://api.spotify.com/v1/audio-analysis/0sHeIbgbNzKF8rGspC1FHV,186413,4,3.0,Shirin David,Brillis,2019-08-23,top200,NEW_ENTRY,622017.0,Germany,rap
